start_time,end_time,dialogue,sentiment,sentiment_smooth,emotions,surprise,positive,joy,anticipation,fear,anger,anticip,trust,negative,sadness,disgust,pos_score,neg_score,emotion_balance,smooth_balance
0:00:13.34,0:00:19.72,"Good luck, Chihiro \NHope we meet again",0.7096,0.7096,"[('surprise', 0.25), ('positive', 0.25), ('joy', 0.25), ('anticipation', 0.25)]",0.25,0.25,0.25,0.25,,,,,,,,0.5,0.0,0.5,0.5
0:00:16.10,0:00:19.10,Chihiro? Chihiro!,0.0,0.3548,"[('fear', 0.0), ('anger', 0.0), ('anticip', 0.0), ('trust', 0.0), ('surprise', 0.0), ('positive', 0.0), ('negative', 0.0), ('sadness', 0.0), ('disgust', 0.0), ('joy', 0.0)]",0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
0:00:19.10,0:00:20.56,We're almost there.,0.0,0.23653333333333335,"[('fear', 0.0), ('anger', 0.0), ('anticip', 0.0), ('trust', 0.0), ('surprise', 0.0), ('positive', 0.0), ('negative', 0.0), ('sadness', 0.0), ('disgust', 0.0), ('joy', 0.0)]",0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
0:00:23.52,0:00:25.60,This really is the middle of nowhere.,0.0,0.1774,"[('fear', 0.0), ('anger', 0.0), ('anticip', 0.0), ('trust', 0.0), ('surprise', 0.0), ('positive', 0.0), ('negative', 0.0), ('sadness', 0.0), ('disgust', 0.0), ('joy', 0.0)]",0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125
0:00:25.60,0:00:28.57,I'll have to shop in the next town.,0.0,0.14192,"[('fear', 0.0), ('anger', 0.0), ('anticip', 0.0), ('trust', 0.0), ('surprise', 0.0), ('positive', 0.0), ('negative', 0.0), ('sadness', 0.0), ('disgust', 0.0), ('joy', 0.0)]",0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
0:00:28.57,0:00:30.61,We'll just have to make do.,0.0,0.11826666666666667,"[('fear', 0.0), ('anger', 0.0), ('anticip', 0.0), ('trust', 0.0), ('surprise', 0.0), ('positive', 0.0), ('negative', 0.0), ('sadness', 0.0), ('disgust', 0.0), ('joy', 0.0)]",0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333
0:00:33.03,0:00:35.16,"Look, there's the elementary school.",0.0,0.10137142857142857,"[('trust', 1.0)]",,,,,,,,1.0,,,,1.0,0.0,1.0,0.21428571428571427
0:00:35.16,0:00:36.95,"That's your new school, Chihiro.",0.0,0.0887,"[('trust', 1.0)]",,,,,,,,1.0,,,,1.0,0.0,1.0,0.3125
0:00:37.83,0:00:40.08,"Why, it looks very nice.",0.4754,0.13166666666666668,"[('fear', 0.0), ('anger', 0.0), ('anticip', 0.0), ('trust', 0.0), ('surprise', 0.0), ('positive', 0.0), ('negative', 0.0), ('sadness', 0.0), ('disgust', 0.0), ('joy', 0.0)]",0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2777777777777778
0:00:47.79,0:00:49.92,I liked my old school.,0.4215,0.16065000000000002,"[('trust', 1.0)]",,,,,,,,1.0,,,,1.0,0.0,1.0,0.35
0:00:54.13,0:00:57.22,"Mom, my flowers got bent.",0.0,0.14604545454545456,"[('fear', 0.0), ('anger', 0.0), ('anticip', 0.0), ('trust', 0.0), ('surprise', 0.0), ('positive', 0.0), ('negative', 0.0), ('sadness', 0.0), ('disgust', 0.0), ('joy', 0.0)]",0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3181818181818182
0:00:57.22,0:00:59.81,"No wonder, the way you squeeze them.",-0.296,0.10920833333333334,"[('fear', 0.0), ('anger', 0.0), ('anticip', 0.0), ('trust', 0.0), ('surprise', 0.0), ('positive', 0.0), ('negative', 0.0), ('sadness', 0.0), ('disgust', 0.0), ('joy', 0.0)]",0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2916666666666667
0:00:59.81,0:01:02.77,A little water and they'll perk right up.,0.0,0.1008076923076923,"[('positive', 1.0)]",,1.0,,,,,,,,,,0.0,0.0,0.0,0.2692307692307692
0:01:03.81,0:01:07.52,"My first bouquet, and it's farewell flowers.",0.0,0.09360714285714286,"[('trust', 0.3333333333333333), ('positive', 0.3333333333333333), ('joy', 0.3333333333333333)]",,0.3333333333333333,0.3333333333333333,,,,,0.3333333333333333,,,,0.6666666666666666,0.0,0.6666666666666666,0.2976190476190476
0:01:07.52,0:01:10.96,What about the rose you got for your birthday?,0.0,0.08736666666666666,"[('surprise', 0.25), ('positive', 0.25), ('joy', 0.25), ('anticipation', 0.25)]",0.25,0.25,0.25,0.25,,,,,,,,0.5,0.0,0.5,0.3111111111111111
0:01:10.96,0:01:14.28,One rose? One rose isn't a bouquet.,0.0,0.08190625,"[('trust', 0.3333333333333333), ('positive', 0.3333333333333333), ('joy', 0.3333333333333333)]",,0.3333333333333333,0.3333333333333333,,,,,0.3333333333333333,,,,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333
0:01:14.28,0:01:16.03,You dropped the card.,0.0,0.07708823529411765,"[('fear', 0.0), ('anger', 0.0), ('anticip', 0.0), ('trust', 0.0), ('surprise', 0.0), ('positive', 0.0), ('negative', 0.0), ('sadness', 0.0), ('disgust', 0.0), ('joy', 0.0)]",0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3137254901960784
0:01:16.03,0:01:20.41,Now pull yourself together. This is a busy day for us.,0.0,0.07280555555555555,"[('positive', 1.0)]",,1.0,,,,,,,,,,0.0,0.0,0.0,0.2962962962962963
0:01:39.51,0:01:45.39,SPIRITED AWAY,0.3182,0.08572105263157895,"[('fear', 0.0), ('anger', 0.0), ('anticip', 0.0), ('trust', 0.0), ('surprise', 0.0), ('positive', 0.0), ('negative', 0.0), ('sadness', 0.0), ('disgust', 0.0), ('joy', 0.0)]",0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2807017543859649
0:01:57.20,0:02:01.16,Wait a minute. Did I take a wrong turn?,-0.4767,0.0576,"[('negative', 1.0)]",,,,,,,,,1.0,,,0.0,0.0,0.0,0.26666666666666666
